360ONE,360ONE.NS
3MINDIA,3MINDIA.NS
ABB,ABB.NS
ACC,ACC.NS
AIAENG,AIAENG.NS
APLAPOLLO,APLAPOLLO.NS
AUBANK,AUBANK.NS
AARTIIND,AARTIIND.NS
AAVAS,AAVAS.NS
ABBOTINDIA,ABBOTINDIA.NS
ACE,ACE.NS
ADANIENSOL,ADANIENSOL.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ADANIPOWER,ADANIPOWER.NS
ATGL,ATGL.NS
AWL,AWL.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
AEGISLOG,AEGISLOG.NS
AETHER,AETHER.NS
AFFLE,AFFLE.NS
AJANTPHARM,AJANTPHARM.NS
APLLTD,APLLTD.NS
ALKEM,ALKEM.NS
ALKYLAMINE,ALKYLAMINE.NS
ALLCARGO,ALLCARGO.NS
ALOKINDS,ALOKINDS.NS
ARE&M,ARE&M.NS
AMBER,AMBER.NS
AMBUJACEM,AMBUJACEM.NS
ANANDRATHI,ANANDRATHI.NS
ANGELONE,ANGELONE.NS
ANURAS,ANURAS.NS
APARINDS,APARINDS.NS
APOLLOHOSP,APOLLOHOSP.NS
APOLLOTYRE,APOLLOTYRE.NS
APTUS,APTUS.NS
ACI,ACI.NS
ASAHIINDIA,ASAHIINDIA.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
ASTERDM,ASTERDM.NS
ASTRAZEN,ASTRAZEN.NS
ASTRAL,ASTRAL.NS
ATUL,ATUL.NS
AUROPHARMA,AUROPHARMA.NS
AVANTIFEED,AVANTIFEED.NS
DMART,DMART.NS
AXISBANK,AXISBANK.NS
BEML,BEML.NS
BLS,BLS.NS
BSE,BSE.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BALAMINES,BALAMINES.NS
BALKRISIND,BALKRISIND.NS
BALRAMCHIN,BALRAMCHIN.NS
BANDHANBNK,BANDHANBNK.NS
BANKBARODA,BANKBARODA.NS
BANKINDIA,BANKINDIA.NS
MAHABANK,MAHABANK.NS
BATAINDIA,BATAINDIA.NS
BAYERCROP,BAYERCROP.NS
BERGEPAINT,BERGEPAINT.NS
BDL,BDL.NS
BEL,BEL.NS
BHARATFORG,BHARATFORG.NS
BHEL,BHEL.NS
BPCL,BPCL.NS
BHARTIARTL,BHARTIARTL.NS
BIKAJI,BIKAJI.NS
BIOCON,BIOCON.NS
BIRLACORPN,BIRLACORPN.NS
BSOFT,BSOFT.NS
BLUEDART,BLUEDART.NS
BLUESTARCO,BLUESTARCO.NS
BBTC,BBTC.NS
BORORENEW,BORORENEW.NS
BOSCHLTD,BOSCHLTD.NS
BRIGADE,BRIGADE.NS
BRITANNIA,BRITANNIA.NS
MAPMYINDIA,MAPMYINDIA.NS
CCL,CCL.NS
CESC,CESC.NS
CGPOWER,CGPOWER.NS
CIEINDIA,CIEINDIA.NS
CRISIL,CRISIL.NS
CSBBANK,CSBBANK.NS
CAMPUS,CAMPUS.NS
CANFINHOME,CANFINHOME.NS
CANBK,CANBK.NS
CAPLIPOINT,CAPLIPOINT.NS
CGCL,CGCL.NS
CARBORUNIV,CARBORUNIV.NS
CASTROLIND,CASTROLIND.NS
CEATLTD,CEATLTD.NS
CELLO,CELLO.NS
CENTRALBK,CENTRALBK.NS
CDSL,CDSL.NS
CENTURYPLY,CENTURYPLY.NS
CENTURYTEX,CENTURYTEX.NS
CERA,CERA.NS
CHALET,CHALET.NS
CHAMBLFERT,CHAMBLFERT.NS
CHEMPLASTS,CHEMPLASTS.NS
CHENNPETRO,CHENNPETRO.NS
CHOLAHLDNG,CHOLAHLDNG.NS
CHOLAFIN,CHOLAFIN.NS
CIPLA,CIPLA.NS
CUB,CUB.NS
CLEAN,CLEAN.NS
COALINDIA,COALINDIA.NS
COCHINSHIP,COCHINSHIP.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
CAMS,CAMS.NS
CONCORDBIO,CONCORDBIO.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CRAFTSMAN,CRAFTSMAN.NS
CREDITACC,CREDITACC.NS
CROMPTON,CROMPTON.NS
CUMMINSIND,CUMMINSIND.NS
CYIENT,CYIENT.NS
DCMSHRIRAM,DCMSHRIRAM.NS
DLF,DLF.NS
DOMS,DOMS.NS
DABUR,DABUR.NS
DALBHARAT,DALBHARAT.NS
DATAPATTNS,DATAPATTNS.NS
DEEPAKFERT,DEEPAKFERT.NS
DEEPAKNTR,DEEPAKNTR.NS
DELHIVERY,DELHIVERY.NS
DEVYANI,DEVYANI.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
LALPATHLAB,LALPATHLAB.NS
DRREDDY,DRREDDY.NS
DUMMYRAYMD,DUMMYRAYMD.NS
DUMMYSANOF,DUMMYSANOF.NS
EIDPARRY,EIDPARRY.NS
EIHOTEL,EIHOTEL.NS
EPL,EPL.NS
EASEMYTRIP,EASEMYTRIP.NS
EICHERMOT,EICHERMOT.NS
ELECON,ELECON.NS
ELGIEQUIP,ELGIEQUIP.NS
EMAMILTD,EMAMILTD.NS
ENDURANCE,ENDURANCE.NS
ENGINERSIN,ENGINERSIN.NS
EQUITASBNK,EQUITASBNK.NS
ERIS,ERIS.NS
ESCORTS,ESCORTS.NS
EXIDEIND,EXIDEIND.NS
FDC,FDC.NS
NYKAA,NYKAA.NS
FEDERALBNK,FEDERALBNK.NS
FACT,FACT.NS
FINEORG,FINEORG.NS
FINCABLES,FINCABLES.NS
FINPIPE,FINPIPE.NS
FSL,FSL.NS
FIVESTAR,FIVESTAR.NS
FORTIS,FORTIS.NS
GAIL,GAIL.NS
GMMPFAUDLR,GMMPFAUDLR.NS
GMRINFRA,GMRINFRA.NS
GRSE,GRSE.NS
GICRE,GICRE.NS
GILLETTE,GILLETTE.NS
GLAND,GLAND.NS
GLAXO,GLAXO.NS
GLS,GLS.NS
GLENMARK,GLENMARK.NS
MEDANTA,MEDANTA.NS
GPIL,GPIL.NS
GODFRYPHLP,GODFRYPHLP.NS
GODREJCP,GODREJCP.NS
GODREJIND,GODREJIND.NS
GODREJPROP,GODREJPROP.NS
GRANULES,GRANULES.NS
GRAPHITE,GRAPHITE.NS
GRASIM,GRASIM.NS
GESHIP,GESHIP.NS
GRINDWELL,GRINDWELL.NS
GAEL,GAEL.NS
FLUOROCHEM,FLUOROCHEM.NS
GUJGASLTD,GUJGASLTD.NS
GMDCLTD,GMDCLTD.NS
GNFC,GNFC.NS
GPPL,GPPL.NS
GSFC,GSFC.NS
GSPL,GSPL.NS
HEG,HEG.NS
HBLPOWER,HBLPOWER.NS
HCLTECH,HCLTECH.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HFCL,HFCL.NS
HAPPSTMNDS,HAPPSTMNDS.NS
HAPPYFORGE,HAPPYFORGE.NS
HAVELLS,HAVELLS.NS
HEROMOTOCO,HEROMOTOCO.NS
HSCL,HSCL.NS
HINDALCO,HINDALCO.NS
HAL,HAL.NS
HINDCOPPER,HINDCOPPER.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
POWERINDIA,POWERINDIA.NS
HOMEFIRST,HOMEFIRST.NS
HONASA,HONASA.NS
HONAUT,HONAUT.NS
HUDCO,HUDCO.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
ISEC,ISEC.NS
IDBI,IDBI.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IDFC,IDFC.NS
IIFL,IIFL.NS
IRB,IRB.NS
IRCON,IRCON.NS
ITC,ITC.NS
ITI,ITI.NS
INDIACEM,INDIACEM.NS
INDIAMART,INDIAMART.NS
INDIANB,INDIANB.NS
IEX,IEX.NS
INDHOTEL,INDHOTEL.NS
IOC,IOC.NS
IOB,IOB.NS
IRCTC,IRCTC.NS
IRFC,IRFC.NS
INDIGOPNTS,INDIGOPNTS.NS
IGL,IGL.NS
INDUSTOWER,INDUSTOWER.NS
INDUSINDBK,INDUSINDBK.NS
NAUKRI,NAUKRI.NS
INFY,INFY.NS
INOXWIND,INOXWIND.NS
INTELLECT,INTELLECT.NS
INDIGO,INDIGO.NS
IPCALAB,IPCALAB.NS
JBCHEPHARM,JBCHEPHARM.NS
JKCEMENT,JKCEMENT.NS
JBMA,JBMA.NS
JKLAKSHMI,JKLAKSHMI.NS
JKPAPER,JKPAPER.NS
JMFINANCIL,JMFINANCIL.NS
JSWENERGY,JSWENERGY.NS
JSWINFRA,JSWINFRA.NS
JSWSTEEL,JSWSTEEL.NS
JAIBALAJI,JAIBALAJI.NS
J&KBANK,J&KBANK.NS
JINDALSAW,JINDALSAW.NS
JSL,JSL.NS
JINDALSTEL,JINDALSTEL.NS
JIOFIN,JIOFIN.NS
JUBLFOOD,JUBLFOOD.NS
JUBLINGREA,JUBLINGREA.NS
JUBLPHARMA,JUBLPHARMA.NS
JWL,JWL.NS
JUSTDIAL,JUSTDIAL.NS
JYOTHYLAB,JYOTHYLAB.NS
KPRMILL,KPRMILL.NS
KEI,KEI.NS
KNRCON,KNRCON.NS
KPITTECH,KPITTECH.NS
KRBL,KRBL.NS
KSB,KSB.NS
KAJARIACER,KAJARIACER.NS
KPIL,KPIL.NS
KALYANKJIL,KALYANKJIL.NS
KANSAINER,KANSAINER.NS
KARURVYSYA,KARURVYSYA.NS
KAYNES,KAYNES.NS
KEC,KEC.NS
KFINTECH,KFINTECH.NS
KOTAKBANK,KOTAKBANK.NS
KIMS,KIMS.NS
LTF,LTF.NS
LTTS,LTTS.NS
LICHSGFIN,LICHSGFIN.NS
LTIM,LTIM.NS
LT,LT.NS
LATENTVIEW,LATENTVIEW.NS
LAURUSLABS,LAURUSLABS.NS
LXCHEM,LXCHEM.NS
LEMONTREE,LEMONTREE.NS
LICI,LICI.NS
LINDEINDIA,LINDEINDIA.NS
LLOYDSME,LLOYDSME.NS
LUPIN,LUPIN.NS
MMTC,MMTC.NS
MRF,MRF.NS
MTARTECH,MTARTECH.NS
LODHA,LODHA.NS
MGL,MGL.NS
MAHSEAMLES,MAHSEAMLES.NS
M&MFIN,M&MFIN.NS
M&M,M&M.NS
MHRIL,MHRIL.NS
MAHLIFE,MAHLIFE.NS
MANAPPURAM,MANAPPURAM.NS
MRPL,MRPL.NS
MANKIND,MANKIND.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MASTEK,MASTEK.NS
MFSL,MFSL.NS
MAXHEALTH,MAXHEALTH.NS
MAZDOCK,MAZDOCK.NS
MEDPLUS,MEDPLUS.NS
METROBRAND,METROBRAND.NS
METROPOLIS,METROPOLIS.NS
MINDACORP,MINDACORP.NS
MSUMI,MSUMI.NS
MOTILALOFS,MOTILALOFS.NS
MPHASIS,MPHASIS.NS
MCX,MCX.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NATCOPHARM,NATCOPHARM.NS
NBCC,NBCC.NS
NCC,NCC.NS
NHPC,NHPC.NS
NLCINDIA,NLCINDIA.NS
NMDC,NMDC.NS
NSLNISP,NSLNISP.NS
NTPC,NTPC.NS
NH,NH.NS
NATIONALUM,NATIONALUM.NS
NAVINFLUOR,NAVINFLUOR.NS
NESTLEIND,NESTLEIND.NS
NETWORK18,NETWORK18.NS
NAM-INDIA,NAM-INDIA.NS
NUVAMA,NUVAMA.NS
NUVOCO,NUVOCO.NS
OBEROIRLTY,OBEROIRLTY.NS
ONGC,ONGC.NS
OIL,OIL.NS
OLECTRA,OLECTRA.NS
PAYTM,PAYTM.NS
OFSS,OFSS.NS
POLICYBZR,POLICYBZR.NS
PCBL,PCBL.NS
PIIND,PIIND.NS
PNBHOUSING,PNBHOUSING.NS
PNCINFRA,PNCINFRA.NS
PVRINOX,PVRINOX.NS
PAGEIND,PAGEIND.NS
PATANJALI,PATANJALI.NS
PERSISTENT,PERSISTENT.NS
PETRONET,PETRONET.NS
PHOENIXLTD,PHOENIXLTD.NS
PIDILITIND,PIDILITIND.NS
PEL,PEL.NS
PPLPHARMA,PPLPHARMA.NS
POLYMED,POLYMED.NS
POLYCAB,POLYCAB.NS
POONAWALLA,POONAWALLA.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PRAJIND,PRAJIND.NS
PRESTIGE,PRESTIGE.NS
PRINCEPIPE,PRINCEPIPE.NS
PRSMJOHNSN,PRSMJOHNSN.NS
PGHH,PGHH.NS
PNB,PNB.NS
QUESS,QUESS.NS
RRKABEL,RRKABEL.NS
RBLBANK,RBLBANK.NS
RECLTD,RECLTD.NS
RHIM,RHIM.NS
RITES,RITES.NS
RADICO,RADICO.NS
RVNL,RVNL.NS
RAILTEL,RAILTEL.NS
RAINBOW,RAINBOW.NS
RAJESHEXPO,RAJESHEXPO.NS
RKFORGE,RKFORGE.NS
RCF,RCF.NS
RATNAMANI,RATNAMANI.NS
RTNINDIA,RTNINDIA.NS
RAYMOND,RAYMOND.NS
REDINGTON,REDINGTON.NS
RELIANCE,RELIANCE.NS
RBA,RBA.NS
ROUTE,ROUTE.NS
SBFC,SBFC.NS
SBICARD,SBICARD.NS
SBILIFE,SBILIFE.NS
SJVN,SJVN.NS
SKFINDIA,SKFINDIA.NS
SRF,SRF.NS
SAFARI,SAFARI.NS
SAMMAANCAP,SAMMAANCAP.NS
MOTHERSON,MOTHERSON.NS
SANOFI,SANOFI.NS
SAPPHIRE,SAPPHIRE.NS
SAREGAMA,SAREGAMA.NS
SCHAEFFLER,SCHAEFFLER.NS
SCHNEIDER,SCHNEIDER.NS
SHREECEM,SHREECEM.NS
RENUKA,RENUKA.NS
SHRIRAMFIN,SHRIRAMFIN.NS
SHYAMMETL,SHYAMMETL.NS
SIEMENS,SIEMENS.NS
SIGNATURE,SIGNATURE.NS
SOBHA,SOBHA.NS
SOLARINDS,SOLARINDS.NS
SONACOMS,SONACOMS.NS
SONATSOFTW,SONATSOFTW.NS
STARHEALTH,STARHEALTH.NS
SBIN,SBIN.NS
SAIL,SAIL.NS
SWSOLAR,SWSOLAR.NS
STLTECH,STLTECH.NS
SUMICHEM,SUMICHEM.NS
SPARC,SPARC.NS
SUNPHARMA,SUNPHARMA.NS
SUNTV,SUNTV.NS
SUNDARMFIN,SUNDARMFIN.NS
SUNDRMFAST,SUNDRMFAST.NS
SUNTECK,SUNTECK.NS
SUPREMEIND,SUPREMEIND.NS
SUVENPHAR,SUVENPHAR.NS
SUZLON,SUZLON.NS
SWANENERGY,SWANENERGY.NS
SYNGENE,SYNGENE.NS
SYRMA,SYRMA.NS
TV18BRDCST,TV18BRDCST.NS
TVSMOTOR,TVSMOTOR.NS
TVSSCS,TVSSCS.NS
TMB,TMB.NS
TANLA,TANLA.NS
TATACHEM,TATACHEM.NS
TATACOMM,TATACOMM.NS
TCS,TCS.NS
TATACONSUM,TATACONSUM.NS
TATAELXSI,TATAELXSI.NS
TATAINVEST,TATAINVEST.NS
TATAMOTORS,TATAMOTORS.NS
TATAPOWER,TATAPOWER.NS
TATASTEEL,TATASTEEL.NS
TATATECH,TATATECH.NS
TTML,TTML.NS
TECHM,TECHM.NS
TEJASNET,TEJASNET.NS
NIACL,NIACL.NS
RAMCOCEM,RAMCOCEM.NS
THERMAX,THERMAX.NS
TIMKEN,TIMKEN.NS
TITAGARH,TITAGARH.NS
TITAN,TITAN.NS
TORNTPHARM,TORNTPHARM.NS
TORNTPOWER,TORNTPOWER.NS
TRENT,TRENT.NS
TRIDENT,TRIDENT.NS
TRIVENI,TRIVENI.NS
TRITURBINE,TRITURBINE.NS
TIINDIA,TIINDIA.NS
UCOBANK,UCOBANK.NS
UNOMINDA,UNOMINDA.NS
UPL,UPL.NS
UTIAMC,UTIAMC.NS
UJJIVANSFB,UJJIVANSFB.NS
ULTRACEMCO,ULTRACEMCO.NS
UNIONBANK,UNIONBANK.NS
UBL,UBL.NS
UNITDSPR,UNITDSPR.NS
USHAMART,USHAMART.NS
VGUARD,VGUARD.NS
VIPIND,VIPIND.NS
VAIBHAVGBL,VAIBHAVGBL.NS
VTL,VTL.NS
VARROC,VARROC.NS
VBL,VBL.NS
MANYAVAR,MANYAVAR.NS
VEDL,VEDL.NS
VIJAYA,VIJAYA.NS
IDEA,IDEA.NS
VOLTAS,VOLTAS.NS
WELCORP,WELCORP.NS
WELSPUNLIV,WELSPUNLIV.NS
WESTLIFE,WESTLIFE.NS
WHIRLPOOL,WHIRLPOOL.NS
WIPRO,WIPRO.NS
YESBANK,YESBANK.NS
ZFCVINDIA,ZFCVINDIA.NS
ZEEL,ZEEL.NS
ZENSARTECH,ZENSARTECH.NS
ZOMATO,ZOMATO.NS
ZYDUSLIFE,ZYDUSLIFE.NS
ECLERX,ECLERX.NS